iid;job;company;ssn;residence;current_location;blood_group;website;username;name;sex_x;address;mail;birthdate;age;sex_y;cp;trestbps;chol;fbs;restecg;thalach;exang;oldpeak;slope;ca;thal;target
2;Sales promotion account executive;Dubey and Sons;708-68-3888;"00
Shroff Circle, Maheshtala 458476";(Decimal('-54.594989'), Decimal('149.702184'));AB-;['http://chander-dutta.com/', 'https://www.dua.com/', 'http://www.khosla.org/'];zarabhatnagar;Inaaya  Varty;M;"17, Master Marg
Pali-999433";jayantray@gmail.com;1959-08-12;59;1;0;140;177;0;1;162;1;0.0;2;1;3;0
3;garde (chasse, pêche, littoral, rivière, parcs nationaux);Georges;1,71073E+14;"476, rue Catherine Richard
77760 Sainte Marguerite-sur-Mer";(Decimal('-83.0013495'), Decimal('125.826808'));A+;['http://dos.fr/', 'http://www.cousin.com/', 'http://www.weber.fr/', 'http://www.georges.com/'];alfredmeyer;Éric Rodrigues;M;"49, avenue Emmanuelle Humbert
80044 Charrier-sur-Lefebvre";adelaide05@live.com;2003-02-11;43;0;0;132;341;1;0;136;1;3.0;1;0;3;0
4;monteur en installations thermiques et climatiques;Texier Lopez et Fils;2,61113E+14;"613, rue de Mathieu
77536 Boyer";(Decimal('54.4069665'), Decimal('96.562732'));AB-;['https://bourgeois.org/', 'http://lebreton.net/', 'https://cousin.com/', 'http://www.faivre.fr/'];qdelorme;Philippine-Zoé Bertrand;F;"863, boulevard Odette Briand
49576 Paris";lopesjuliette@noos.fr;1915-08-02;58;1;0;114;318;0;2;140;0;4.4;0;3;1;0
5;géomaticien;Da Costa;2,7603E+14;"70, rue de Rodrigues
39181 Saint Clémence-la-Forêt";(Decimal('40.246557'), Decimal('169.596952'));B-;['https://gregoire.fr/'];theresethibault;Olivier Jacques de la Petitjean;M;"71, boulevard Élisabeth Morvan
73449 Coste";grobin@laposte.net;1928-05-22;57;1;2;128;229;0;0;150;0;0.4;1;1;3;0
6;dessinateur-projeteur;Rousseau Baudry SA;2,58084E+14;"rue Normand
24254 Torres";(Decimal('-44.6016945'), Decimal('140.175648'));A+;['http://www.charpentier.net/'];michellemarty;Josette Teixeira;F;"82, rue Olivie Martel
65741 Guibert";josephgabriel@hotmail.fr;1966-06-24;57;0;0;140;241;0;1;123;1;0.2;1;0;3;0
7;Development worker, international aid;Stewart, Wagner and Rogers;867-66-9614;"509 Cruz Path Apt. 458
Port Debraberg, NJ 64281";(Decimal('40.113896'), Decimal('83.345774'));B+;['https://munoz-miller.net/', 'http://www.mcguire.org/', 'http://www.reynolds.com/'];brownjulia;Stacy Richards;F;"36779 Ballard Green
Lewismouth, HI 60658";wzimmerman@yahoo.com;1944-04-01;45;1;0;104;208;0;0;148;1;3.0;1;0;2;1
8;Scientist, research (maths);Bandi, Kar and Sura;962-79-6542;"067
Dubey Nagar
Siliguri 673031";(Decimal('-60.823243'), Decimal('134.849669'));B-;['http://lata.org/', 'http://www.karan.com/'];sana45;Shamik Sehgal;F;H.No. 11, Sibal Path, Orai 361028;rati56@gmail.com;1949-01-14;42;0;2;120;209;0;1;173;0;0.0;1;0;2;1
9;conducteur de machines à papier;Toussaint;2,41125E+14;"boulevard Denis Clément
85659 Peron";(Decimal('-39.6349315'), Decimal('12.685401'));B-;['http://verdier.fr/', 'http://www.jacquot.org/', 'http://www.besson.com/', 'http://dumont.com/'];timotheeramos;Thomas Hubert;M;"chemin Marcelle Lefort
46001 Legros-sur-Mer";andrebenoit@sfr.fr;1922-05-20;41;1;1;135;203;0;1;132;0;0.0;1;0;1;1
10;Media planner;Matthews Group;523-31-2832;"598 Kristina Views
Washingtonchester, VA 83770";(Decimal('-62.8962605'), Decimal('-88.537444'));AB+;['http://mcdaniel.biz/', 'http://www.allen-nelson.com/', 'https://www.singh.com/', 'http://www.ashley.com/'];mgardner;Jennifer Rogers;F;"2029 Taylor Ways Suite 053
Bryanview, DE 89013";cunninghamalyssa@gmail.com;1981-11-26;41;1;2;130;214;0;0;168;0;2.0;1;0;2;1
11;documentaliste;Jacquet;2,0205E+14;"13, rue Berger
06546 Lelièvre-la-Forêt";(Decimal('-13.9061755'), Decimal('143.222858'));AB-;['http://benard.org/', 'https://www.seguin.net/', 'https://www.vidal.net/'];noemi13;Patricia Robert;F;"97, boulevard Rodrigues
37739 Robin";lopespierre@gmail.com;1994-08-10;53;1;0;123;282;0;1;95;1;2.0;1;2;3;0
